file,page_num,line_num,text,lang,lang_score,perplex,categ
CTX199904249,179,45,Vzorek výplně - váha:,ces_Latn,1.0000,308.76,Noisy
CTX199904249,179,46,Fotodokumentace - čisla díasnimku:,ces_Latn,0.8536,634.72,Trash
CTX199904249,179,47,Odkaz na text NZ:,ces_Latn,0.9712,9115.73,Trash
CTX199904249,496,2,Vyzkum,ces_Latn,0.9985,4525.93,Trash
CTX199904249,496,3,Turnov,vie_Latn,0.6003,40785.12,Trash
CTX199904249,496,4,Maškovy zahrady,ces_Latn,0.9849,865.11,Trash
CTX199904249,496,5,Dotumn,vie_Latn,0.7280,31723.01,Trash
CTX199904249,496,9,Poélloeovy soubor,ces_Latn,0.9993,53596.77,Trash
CTX199904249,496,10,F 1 cdr,kor_Hang,0.9384,2750.81,Trash
CTX199904249,496,11,M Čermák,slk_Latn,0.5672,1116.92,Trash
CTX199904249,496,12,M Čermák,slk_Latn,0.5672,1116.92,Trash
CTX199904249,820,2,PŘIČÍSLO,deu_Latn,0.5050,614.03,Trash
CTX199904249,820,4,LOKALITA,kor_Hang,0.9309,141.37,Noisy
CTX199904249,820,5,"Turnov (okr. Semily), Sobotecká ul. ppč. 1818/46",slk_Latn,0.6221,1915.19,Trash
CTX199904249,820,6,SONDA,kor_Hang,0.6782,3207.85,Trash
CTX199904249,820,7,G10 - začišfováni,ces_Latn,0.9962,359.43,Noisy
CTX199904249,820,8,OBJEKT,vie_Latn,0.3706,339.94,Noisy
CTX199904249,820,10,VRST1A,kor_Hang,0.9689,579.89,Trash
CTX199904249,820,11,vrstva B,slv_Latn,0.9834,2892.69,Trash
CTX199904249,820,12,DATUMNAL,ltz_Latn,0.9966,424.51,Noisy
CTX199904249,820,14,SACEK,vie_Latn,0.4761,3179.82,Trash
CTX199904249,820,16,NALEZ,deu_Latn,0.5767,9303.55,Trash
CTX199904249,820,17,"[ker., brousek",eus_Latn,0.7882,7143.48,Trash
CTX199904249,820,18,TYPKER,kor_Hang,0.3228,4378.16,Trash
CTX199904249,820,21,neolit - 2,bos_Latn,0.2314,9717.24,Trash
CTX199904249,820,23,VS2.1,vie_Latn,0.7304,25.05,Noisy
CTX199904249,820,30,ATYPKER,kor_Hang,0.6738,2588.09,Trash
CTX199904249,820,44,MAZANICE,yue_Hant,0.4861,1106.95,Trash
CTX199904249,820,46,ZA 1RK0STI,kor_Hang,0.9947,683.11,Trash
CTX199904249,820,48,UHLÍKY,deu_Latn,0.9178,137101.25,Trash
CTX199904249,820,50,JINÉ,bod_Tibt,0.3695,3770.67,Trash
CTX199904249,820,51,1 piskovcový brousek,ces_Latn,0.9239,1097.06,Trash
CTX199904249,820,52,DATACE,kor_Hang,0.5265,3450.75,Trash
CTX199904249,820,53,"[neolit, 15. stol.",eng_Latn,0.2205,2232.88,Trash
CTX199904249,820,54,ULOŽENI,eng_Latn,0.3732,801.37,Trash
CTX199904249,820,55,OMCR Turnov,kor_Hang,0.9830,103307.34,Trash
CTX199904249,820,56,POZNÁMKA,deu_Latn,0.4857,281.56,Noisy
CTX199904249,820,57,Maškovy zahrady - prodejna Discount - Plus,ces_Latn,0.9704,1297.37,Trash
CTX199904249,820,58,P0ZNAMKA2 kultura lužická,ces_Latn,0.9740,434.68,Noisy
CTX199904249,820,59,25. července 2010,ces_Latn,0.9994,1485.68,Trash
CTX199904249,820,60,Stránka 34 z 93,ces_Latn,0.9515,36210.37,Trash
CTX199904249,190,2,Lokalita:,slk_Latn,0.6050,666.19,Trash
CTX199904249,190,3,Plocha:,vie_Latn,0.5906,355.85,Noisy
CTX199904249,190,4,Popis objektu:,bos_Latn,0.3233,1935.95,Trash
CTX199904249,190,5,"Tumov - Maškovy zahrady, výzkum 1998, Discount- Plus",ces_Latn,0.8812,498.05,Noisy
CTX199904249,190,6,A Číslo objektu; A8/002/98,slk_Latn,0.5664,1341.66,Trash
CTX199904249,190,7,"zahloubený objekt nepravidelného kruhového půdorysu, průměr 1,2 -1,36 m. hloubka 0,31 m,",ces_Latn,0.9993,296.37,Noisy
CTX199904249,190,8,"U profil na JV strane schůdek, mim za oblen dno",bos_Latn,0.5313,1477.74,Trash
CTX199904249,190,9,Výplň 1:,slk_Latn,0.9931,805.68,Trash
CTX199904249,190,10,středně ulehlá až mírně kyprá černá silně uhlíkatá hlina s velkou koncentraci keramiky a,ces_Latn,1.0000,286.09,Noisy
CTX199904249,190,11,mazanice,vie_Latn,0.9463,2969.81,Trash
CTX199904249,190,12,Výplň 2:,slk_Latn,0.9901,801.93,Trash
CTX199904249,190,13,Výplň 3:,slk_Latn,0.9878,861.15,Trash
CTX199904249,190,14,Výplň 4:,slk_Latn,0.9870,865.03,Trash
CTX199904249,190,15,Výplň 5:,slk_Latn,0.9910,889.01,Trash
CTX199904249,190,16,Keramika,deu_Latn,0.6508,2460.52,Trash
CTX199904249,190,17,Kameny,ces_Latn,0.9966,26273.05,Trash
CTX199904249,190,18,Mazanice,vie_Latn,0.7063,3399.67,Trash
CTX199904249,190,20,Kov,N/A,0,0,Non-text
CTX199904249,190,48,"580/98, 581/98, 593/98, 594/98, 597/98",N/A,0,0,Non-text
CTX199904249,772,1,773,N/A,0,0,Non-text
CTX199904249,772,3,10600/98 |,N/A,0,0,Non-text
CTX199904249,772,7,A 1,N/A,0,0,Non-text
CTX199904249,772,9,4/A9,N/A,0,0,Non-text
CTX199904249,772,11,1 1,N/A,0,0,Non-text
CTX199904249,772,13,29.10.98.,N/A,0,0,Non-text
CTX199904249,772,15,132 1,N/A,0,0,Non-text
CTX199904249,772,19,1 1,N/A,0,0,Non-text
CTX199904249,772,20,TA,N/A,0,0,Non-text
CTX199904249,772,21,• 1,N/A,0,0,Non-text
CTX199904249,772,22,TB,N/A,0,0,Non-text
CTX199904249,772,23,1 1,N/A,0,0,Non-text
CTX199904249,772,24,TC,N/A,0,0,Non-text
CTX199904249,772,25,1 1,N/A,0,0,Non-text
CTX199904249,772,26,TD,N/A,0,0,Non-text
CTX199904249,772,27,1 1,N/A,0,0,Non-text
CTX199904249,772,28,TE,N/A,0,0,Non-text
CTX199904249,772,29,1 1,N/A,0,0,Non-text
CTX199904249,772,31,1 1,N/A,0,0,Non-text
CTX199904249,772,32,AA,N/A,0,0,Non-text
CTX199904249,772,33,1 1,N/A,0,0,Non-text
CTX199904249,772,34,AB,N/A,0,0,Non-text
CTX199904249,772,35,1 1,N/A,0,0,Non-text
CTX199904249,772,36,AC,N/A,0,0,Non-text
CTX199904249,772,37,1 1,N/A,0,0,Non-text
CTX199904249,772,38,AD,N/A,0,0,Non-text
